STATE,COUNTY,B19013_001E_2018,B01001_001E_2018,B25058_001E_2018,B19013_001E_2019,B01001_001E_2019,B25058_001E_2019,B19013_001E_2021,B01001_001E_2021,B25058_001E_2021,B19013_001E_2022,B01001_001E_2022,B25058_001E_2022
13,015,57380,106408,658,59911,107738,785,71523.0,110843.0,908.0,84590.0,112816.0,881.0
13,021,40495,153095,659,42140,153159,648,48176.0,156762.0,699.0,47625.0,156197.0,787.0
13,031,44179,77296,594,50436,79608,620,57656.0,82442.0,726.0,47297.0,83059.0,723.0
13,045,51545,118121,663,61133,119992,717,58473.0,121968.0,739.0,72595.0,124592.0,862.0
13,047,56364,67420,621,61487,67580,642,65576.0,68397.0,701.0,67081.0,68826.0,823.0
13,051,55308,289195,879,57611,289430,896,61843.0,296329.0,1012.0,64157.0,301107.0,1151.0
13,057,82069,254149,1074,86404,258773,1102,96267.0,274615.0,1264.0,99234.0,281278.0,1416.0
13,059,42232,127330,709,39799,128331,725,50447.0,128711.0,891.0,47171.0,129875.0,911.0
13,063,46646,289615,785,51093,292256,856,51233.0,297100.0,987.0,58325.0,296564.0,1140.0
13,067,78894,756865,1065,79601,760141,1106,88029.0,766802.0,1245.0,97084.0,771952.0,1458.0
13,073,82024,154291,964,88761,156714,928,84220.0,159639.0,936.0,93307.0,162419.0,1098.0
13,077,69240,145864,868,78423,148509,961,84788.0,149956.0,1081.0,84747.0,152882.0,1165.0
13,089,64461,756558,989,63652,759297,1061,70985.0,757718.0,1190.0,77169.0,762820.0,1360.0
13,095,39659,91243,506,35062,87956,519,42067.0,84844.0,604.0,41425.0,82966.0,626.0
13,097,60829,145331,883,62669,146343,933,65046.0,145814.0,1108.0,80933.0,147316.0,1293.0
13,113,93468,113459,1089,92172,114421,1208,90806.0,120574.0,1460.0,108643.0,122030.0,1512.0
13,115,38462,97927,536,50880,98498,564,60825.0,98771.0,640.0,56420.0,99443.0,725.0
13,117,104687,236612,1220,112108,244252,1327,118814.0,260206.0,1705.0,129410.0,267237.0,1689.0
13,121,70930,1050114,1067,80013,1063937,1181,83192.0,1065334.0,1293.0,90346.0,1074634.0,1455.0
13,127,55196,85219,798,59004,85292,635,61984.0,84739.0,829.0,63228.0,85079.0,874.0
13,135,72184,927781,1122,72109,936250,1163,74622.0,964546.0,1279.0,83901.0,975353.0,1452.0
13,139,61699,202148,827,67467,204441,788,66719.0,207369.0,888.0,76888.0,212692.0,1126.0
13,151,73541,230220,970,71939,234561,998,74614.0,245235.0,1141.0,81988.0,248364.0,1340.0
13,153,58965,155469,741,66740,157863,743,72848.0,166829.0,839.0,71068.0,169631.0,852.0
