State,County,Name,Year,Total Population,Total Worked from Home,Total With Public Assistance,Median Household Income,Median Rent
Michigan,Ingham County,"Ingham County, Michigan",2005,261476,,2561,42502,598
Michigan,Isabella County,"Isabella County, Michigan",2005,58848,,938,35949,508
Michigan,Jackson County,"Jackson County, Michigan",2005,152954,,1713,47053,546
Michigan,Kalamazoo County,"Kalamazoo County, Michigan",2005,230457,,2244,44166,571
Michigan,Kent County,"Kent County, Michigan",2005,584007,8187.0,7492,46456,556
Michigan,Lapeer County,"Lapeer County, Michigan",2005,91256,,661,50703,564
Michigan,Lenawee County,"Lenawee County, Michigan",2005,97102,,1338,48274,474
Michigan,Livingston County,"Livingston County, Michigan",2005,179897,,1469,71546,660
Michigan,Macomb County,"Macomb County, Michigan",2005,820599,8775.0,5459,53321,603
Michigan,Midland County,"Midland County, Michigan",2005,82695,,964,45912,483
Michigan,Monroe County,"Monroe County, Michigan",2005,152392,,1535,55663,532
Michigan,Muskegon County,"Muskegon County, Michigan",2005,169500,,2701,41911,430
Michigan,Oakland County,"Oakland County, Michigan",2005,1200531,20751.0,8243,64022,721
Michigan,Ottawa County,"Ottawa County, Michigan",2005,245075,,1075,56984,617
Michigan,Saginaw County,"Saginaw County, Michigan",2005,202037,,3113,39957,469
Michigan,Shiawassee County,"Shiawassee County, Michigan",2005,72224,,575,43011,467
Michigan,St. Clair County,"St. Clair County, Michigan",2005,169749,,2329,49708,540
Michigan,Van Buren County,"Van Buren County, Michigan",2005,76896,,802,39783,418
Michigan,Washtenaw County,"Washtenaw County, Michigan",2005,319791,,1894,53495,735
Michigan,Wayne County,"Wayne County, Michigan",2005,1966909,14975.0,37233,40881,548
Minnesota,Anoka County,"Anoka County, Minnesota",2005,320803,,2269,61634,747
Minnesota,Carver County,"Carver County, Minnesota",2005,83783,,279,72998,726
Minnesota,Dakota County,"Dakota County, Minnesota",2005,381267,7459.0,2779,66467,773
Minnesota,Hennepin County,"Hennepin County, Minnesota",2005,1089910,25974.0,15857,55996,708
Minnesota,Olmsted County,"Olmsted County, Minnesota",2005,132116,,1239,57667,604
Minnesota,Ramsey County,"Ramsey County, Minnesota",2005,476715,11162.0,9736,49898,704
Minnesota,Scott County,"Scott County, Minnesota",2005,118822,,329,78106,725
Minnesota,Sherburne County,"Sherburne County, Minnesota",2005,80003,,437,61313,597
Minnesota,St. Louis County,"St. Louis County, Minnesota",2005,186225,,2876,39858,469
Minnesota,Stearns County,"Stearns County, Minnesota",2005,135253,,1020,46912,589
Minnesota,Washington County,"Washington County, Minnesota",2005,217021,,1186,73491,788
Minnesota,Wright County,"Wright County, Minnesota",2005,109836,,912,59615,636
Mississippi,DeSoto County,"DeSoto County, Mississippi",2005,136353,,704,50454,607
Mississippi,Forrest County,"Forrest County, Mississippi",2005,69608,,1393,29553,423
